,What PostGIS support,Do we have it?,Supportability Category,Blocking Reason
,ST_ConcaveHull — Computes a possibly concave geometry that contains all input geometry vertices,No,,
,ST_ConvexHull — Computes the convex hull of a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_DelaunayTriangles — Returns the Delaunay triangulation of the vertices of a geometry.,No,,
,ST_FilterByM — Removes vertices based on their M value,No,Not 2D (3D/4D architectural gap),OGC M dimension
,ST_GeneratePoints — Generates a multipoint of random points contained in a Polygon or MultiPolygon.,Yes,Supported,Current yb_geospatial extension
,ST_GeometricMedian — Returns the geometric median of a MultiPoint.,No,,
,ST_LineMerge — Return the lines formed by sewing together a MultiLineString.,No,,
,ST_MaximumInscribedCircle — Computes the largest circle contained within a geometry.,No,,
,ST_LargestEmptyCircle — Computes the largest circle not overlapping a geometry.,No,,
,ST_MinimumBoundingCircle — Returns the smallest circle polygon that contains a geometry.,No,,
,ST_MinimumBoundingRadius — Returns the center point and radius of the smallest circle that contains a geometry.,No,,
,ST_OrientedEnvelope — Returns a minimum-area rectangle containing a geometry.,No,,
,ST_OffsetCurve — Returns an offset line at a given distance and side from an input line.,No,Architectural mismatch,Curve geometries (YB type only stores straight-line vertices)
,"ST_PointOnSurface — Computes a point guaranteed to lie in a polygon, or on a geometry.",No,,
,ST_Polygonize — Computes a collection of polygons formed from the linework of a set of geometries.,No,,
,ST_ReducePrecision — Returns a valid geometry with points rounded to a grid tolerance.,No,,
,ST_SharedPaths — Returns a collection containing paths shared by the two input linestrings/multilinestrings.,No,,
,"ST_Simplify — Returns a simplified representation of a geometry, using the Douglas-Peucker algorithm.",Yes,Supported,Current yb_geospatial extension
,"ST_SimplifyPreserveTopology — Returns a simplified and valid representation of a geometry, using the Douglas-Peucker algorithm.",Yes,Supported,Current yb_geospatial extension
,ST_SimplifyPolygonHull — Computes a simplified topology-preserving outer or inner hull of a polygonal geometry.,No,,
,"ST_SimplifyVW — Returns a simplified representation of a geometry, using the Visvalingam-Whyatt algorithm",No,,
,"ST_SetEffectiveArea — Sets the effective area for each vertex, using the Visvalingam-Whyatt algorithm.",No,,
,ST_TriangulatePolygon — Computes the constrained Delaunay triangulation of polygons,No,,
,ST_VoronoiLines — Returns the boundaries of the Voronoi diagram of the vertices of a geometry.,No,,
,ST_VoronoiPolygons — Returns the cells of the Voronoi diagram of the vertices of a geometry.,No,,
7.15. Coverages,ST_CoverageInvalidEdges — Window function that finds locations where polygons fail to form a valid coverage.,No,,
,"ST_CoverageClean — Computes a clean (edge matched, non-overlapping, gap-cleared) polygonal coverage, given a non-clean input.",No,,
,ST_CoverageSimplify — Window function that simplifies the edges of a polygonal coverage.,No,,
,ST_CoverageUnion — Computes the union of a set of polygons forming a coverage by removing shared edges.,No,,
7.16. Affine Transformations,ST_Affine — Apply a 3D affine transformation to a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_Rotate — Rotates a geometry about an origin point.,Yes,Supported,Current yb_geospatial extension
,ST_RotateX — Rotates a geometry about the X axis.,No,,
,ST_RotateY — Rotates a geometry about the Y axis.,No,,
,ST_RotateZ — Rotates a geometry about the Z axis.,No,Not 2D (3D/4D architectural gap),OGC Z dimension
,ST_Scale — Scales a geometry by given factors.,Yes,Supported,Current yb_geospatial extension
,ST_Translate — Translates a geometry by given offsets.,Yes,Supported,Current yb_geospatial extension
,ST_TransScale — Translates and scales a geometry by given offsets and factors.,No,,
7.17. Clustering Functions,ST_ClusterDBSCAN — Window function that returns a cluster id for each input geometry using the DBSCAN algorithm.,No,,
,ST_ClusterIntersecting — Aggregate function that clusters input geometries into connected sets.,No,,
,"ST_ClusterIntersectingWin — Window function that returns a cluster id for each input geometry, clustering input geometries into connected sets.",No,,
,"ST_ClusterRelateWin — Window function that returns a cluster id for each input geometry, clustering input geometries into connected sets using the relate pattern to determine whether the geometries are connected.",No,,
,ST_ClusterKMeans — Window function that returns a cluster id for each input geometry using the K-means algorithm.,No,,
,ST_ClusterWithin — Aggregate function that clusters geometries by separation distance.,No,,
,"ST_ClusterWithinWin — Window function that returns a cluster id for each input geometry, clustering using separation distance.",No,,
7.18. Bounding Box Functions,Box2D — Returns a BOX2D representing the 2D extent of a geometry.,Yes,Supported,Current yb_geospatial extension
,Box3D — Returns a BOX3D representing the 3D extent of a geometry.,No,Not 2D (3D/4D architectural gap),3d
,ST_EstimatedExtent — Returns the estimated extent of a spatial table.,Yes,Supported,Current yb_geospatial extension
,ST_Expand — Returns a bounding box expanded from another bounding box or a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_Extent — Aggregate function that returns the bounding box of geometries.,Yes,Supported,Current yb_geospatial extension
,ST_3DExtent — Aggregate function that returns the 3D bounding box of geometries.,No,Not 2D (3D/4D architectural gap),3d
,ST_MakeBox2D — Creates a BOX2D defined by two 2D point geometries.,No,,
,ST_3DMakeBox — Creates a BOX3D defined by two 3D point geometries.,No,Not 2D (3D/4D architectural gap),3d
,ST_XMax — Returns the X maxima of a 2D or 3D bounding box or a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_XMin — Returns the X minima of a 2D or 3D bounding box or a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_YMax — Returns the Y maxima of a 2D or 3D bounding box or a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_YMin — Returns the Y minima of a 2D or 3D bounding box or a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_ZMax — Returns the Z maxima of a 2D or 3D bounding box or a geometry.,No,Not 2D (3D/4D architectural gap),zmax
,ST_ZMin — Returns the Z minima of a 2D or 3D bounding box or a geometry.,No,Not 2D (3D/4D architectural gap),zmin
,ST_MMin — Returns the M minima of a geometry.,No,Not 2D (3D/4D architectural gap),mmin
,ST_MMax — Returns the M minima of a geometry.,No,Not 2D (3D/4D architectural gap),mmax
7.19. Linear Referencing,ST_LineInterpolatePoint — Returns a point interpolated along a line at a fractional location.,Yes,Supported,Current yb_geospatial extension
,ST_3DLineInterpolatePoint — Returns a point interpolated along a 3D line at a fractional location.,No,Not 2D (3D/4D architectural gap),3d
,ST_LineInterpolatePoints — Returns points interpolated along a line at a fractional interval.,No,,
,ST_LineLocatePoint — Returns the fractional location of the closest point on a line to a point.,Yes,Supported,Current yb_geospatial extension
,ST_LineSubstring — Returns the part of a line between two fractional locations.,Yes,Supported,Current yb_geospatial extension
,ST_LocateAlong — Returns the point(s) on a geometry that match a measure value.,No,,
,ST_LocateBetween — Returns the portions of a geometry that match a measure range.,No,,
,ST_LocateBetweenElevations — Returns the portions of a geometry that lie in an elevation (Z) range.,No,,
,ST_InterpolatePoint — Returns the interpolated measure of a geometry closest to a point.,No,,
,ST_AddMeasure — Interpolates measures along a linear geometry.,No,,
7.20. Trajectory Functions,ST_IsValidTrajectory — Tests if the geometry is a valid trajectory.,No,Not 2D (3D/4D architectural gap),trajectory
,ST_ClosestPointOfApproach — Returns a measure at the closest point of approach of two trajectories.,No,,
,ST_DistanceCPA — Returns the distance between the closest point of approach of two trajectories.,No,Not 2D (3D/4D architectural gap),cpa
,ST_CPAWithin — Tests if the closest point of approach of two trajectories is within the specified distance.,No,Not 2D (3D/4D architectural gap),cpa
7.21. Version Functions,"PostGIS_Extensions_Upgrade — Packages and upgrades PostGIS extensions (e.g. postgis_raster, postgis_topology, postgis_sfcgal) to given or latest version.",No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_Full_Version — Reports full PostGIS version and build configuration infos.,Yes,Supported,Current yb_geospatial extension
,PostGIS_GEOS_Version — Returns the version number of the GEOS library.,Yes,Supported,Current yb_geospatial extension
,PostGIS_GEOS_Compiled_Version — Returns the version number of the GEOS library against which PostGIS was built.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_Liblwgeom_Version — Returns the version number of the liblwgeom library. This should match the version of PostGIS.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_LibXML_Version — Returns the version number of the libxml2 library.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_LibJSON_Version — Returns the version number of the libjson-c library.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_Lib_Build_Date — Returns build date of the PostGIS library.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_Lib_Version — Returns the version number of the PostGIS library.,Yes,Supported,Current yb_geospatial extension
,PostGIS_PROJ_Version — Returns the version number of the PROJ4 library.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_PROJ_Compiled_Version — Returns the version number of the PROJ library against which PostGIS was built.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_Wagyu_Version — Returns the version number of the internal Wagyu library.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_Scripts_Build_Date — Returns build date of the PostGIS scripts.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_Scripts_Installed — Returns version of the PostGIS scripts installed in this database.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_Scripts_Released — Returns the version number of the postgis.sql script released with the installed PostGIS lib.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_Version — Returns PostGIS version number and compile-time options.,Yes,Supported,Current yb_geospatial extension
7.22. Grand Unified Custom Variables (GUCs),"postgis.gdal_datapath — A configuration option to assign the value of GDAL's GDAL_DATA option. If not set, the environmentally set GDAL_DATA variable is used.",No,Blocked by C/C++ library,GDAL
,postgis.gdal_enabled_drivers — A configuration option to set the enabled GDAL drivers in the PostGIS environment. Affects the GDAL configuration variable GDAL_SKIP.,No,Blocked by C/C++ library,GDAL
,postgis.enable_outdb_rasters — A boolean configuration option to enable access to out-db raster bands.,No,Blocked by C/C++ library,GDAL
,postgis.gdal_vsi_options — A string configuration to set options used when working with an out-db raster.,No,Blocked by C/C++ library,GDAL
,postgis.gdal_cpl_debug — A boolean configuration to turn logging of GDAL debug messages on and off.,No,Blocked by C/C++ library,GDAL
7.23. Troubleshooting Functions,PostGIS_AddBBox — Add bounding box to the geometry.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,PostGIS_DropBBox — Drop the bounding box cache from the geometry.,No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
,"PostGIS_HasBBox — Returns TRUE if the bbox of this geometry is cached, FALSE otherwise.",No,Architectural mismatch,PostGIS-specific version/config (no C binary to report)
