,What PostGIS support,Do we have it?,Supportability Category,Blocking Reason
,ST_PatchN — Returns the Nth geometry (face) of a PolyhedralSurface.,No,,
,ST_PointN — Returns the Nth point in the first LineString or circular LineString in a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_Points — Returns a MultiPoint containing the coordinates of a geometry.,No,,
,ST_StartPoint — Returns the first point of a LineString.,Yes,Supported,Current yb_geospatial extension
,ST_Summary — Returns a text summary of the contents of a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_X — Returns the X coordinate of a Point.,Yes,Supported,Current yb_geospatial extension
,ST_Y — Returns the Y coordinate of a Point.,Yes,Supported,Current yb_geospatial extension
,ST_Z — Returns the Z coordinate of a Point.,No,Not 2D (3D/4D architectural gap),OGC Z dimension
,ST_Zmflag — Returns a code indicating the ZM coordinate dimension of a geometry.,No,,
,ST_HasZ — Checks if a geometry has a Z dimension.,No,Not 2D (3D/4D architectural gap),OGC Z dimension
,ST_HasM — Checks if a geometry has an M (measure) dimension.,No,Not 2D (3D/4D architectural gap),OGC M dimension
7.5. Geometry Editors,ST_AddPoint — Add a point to a LineString.,Yes,Supported,Current yb_geospatial extension
,"ST_CollectionExtract — Given a geometry collection, returns a multi-geometry containing only elements of a specified type.",No,,
,ST_CollectionHomogenize — Returns the simplest representation of a geometry collection.,No,,
,ST_CurveToLine — Converts a geometry containing curves to a linear geometry.,No,Architectural mismatch,Curve geometries (YB type only stores straight-line vertices)
,ST_Scroll — Change start point of a closed LineString.,No,,
,ST_FlipCoordinates — Returns a version of a geometry with X and Y axis flipped.,Yes,Supported,Current yb_geospatial extension
,"ST_Force2D — Force the geometries into a ""2-dimensional mode"".",Yes,Supported,Current yb_geospatial extension
,ST_Force3D — Force the geometries into XYZ mode. This is an alias for ST_Force3DZ.,No,Not 2D (3D/4D architectural gap),3d
,ST_Force3DZ — Force the geometries into XYZ mode.,No,Not 2D (3D/4D architectural gap),OGC Z dimension
,ST_Force3DM — Force the geometries into XYM mode.,No,Not 2D (3D/4D architectural gap),OGC M dimension
,ST_Force4D — Force the geometries into XYZM mode.,No,Not 2D (3D/4D architectural gap),force4
,ST_ForceCollection — Convert the geometry into a GEOMETRYCOLLECTION.,No,,
,"ST_ForceCurve — Upcast a geometry into its curved type, if applicable.",No,Architectural mismatch,Curve geometries (YB type only stores straight-line vertices)
,ST_ForcePolygonCCW — Orients all exterior rings counter-clockwise and all interior rings clockwise.,Yes,Supported,Current yb_geospatial extension
,ST_ForcePolygonCW — Orients all exterior rings clockwise and all interior rings counter-clockwise.,Yes,Supported,Current yb_geospatial extension
,ST_ForceSFS — Force the geometries to use SFS 1.1 geometry types only.,No,,
